,Chemical,Url,Dates,Uses
276,Cytembena,https://oehha.ca.gov/chemicals/cytembena,['05/15/1998'],Medicine (treatment for cancer); not produced or used in the US
277,D&C Orange No. 17,https://oehha.ca.gov/chemicals/dc-orange-no-17,['07/01/1990'],Removed from FDA authorized color additives list in 1983
278,D&C Red No. 19,https://oehha.ca.gov/chemicals/dc-red-no-19,['07/01/1990'],Removed from FDA authorized color additives list in 1984
279,D&C Red No. 8,https://oehha.ca.gov/chemicals/dc-red-no-8,['10/01/1990'],Removed from FDA authorized color additives list in 1987
280,D&C Red No. 9,https://oehha.ca.gov/chemicals/dc-red-no-9,['07/01/1990'],"Pigment in topical drugs and cosmetics. Certified grade of CI Pigment Red 53:1 (pigment in inks, paper, crayons, rubber, enamel)"
281,Dacarbazine,https://oehha.ca.gov/chemicals/dacarbazine,"['01/01/1988', '01/29/1999']",Medicine (antineoplastic)
282,Dalapon,https://oehha.ca.gov/chemicals/dalapon,[],Previously used as an herbicide
283,Daminozide,https://oehha.ca.gov/chemicals/daminozide,['01/01/1990'],Plant growth retardant. No agricultural food use in US since 1989.
284,Danazol,https://oehha.ca.gov/chemicals/danazol,['04/01/1990'],"Medicine (modified progestogen, treatment for endometriosis)"
285,Dantron,https://oehha.ca.gov/chemicals/dantron,['01/01/1992'],"Medicine (palliative- laxative), chemical intermediate (dyes)"
286,Daunomycin,https://oehha.ca.gov/chemicals/daunomycin,['01/01/1988'],Medicine (chemotherapeutic)
287,Daunorubicin Hydrochloride,https://oehha.ca.gov/chemicals/daunorubicin-hydrochloride,['07/01/1990'],[]
288,"o,p'-DDT",https://oehha.ca.gov/chemicals/op-ddt,"['05/15/1998', '05/15/1998', '05/15/1998']",[]
289,"DDT, DDD, DDE (combination)",https://oehha.ca.gov/chemicals/ddt-ddd-dde-combination,[],"DDT is an insecticide currently used for public health emergencies only. DDD and DDE are degradation products of DDT, and are commonly detected in the environment alongside DDT."
290,"Delta-8,9-isomer of Avermectin B1",https://oehha.ca.gov/chemicals/delta-89-isomer-avermectin-b1,[],Plant photo-degradate of the pesticide Avermectin B1
291,Deltamethrin,https://oehha.ca.gov/chemicals/deltamethrin,[],"Broad-spectrum pyrethroid insecticide, wood preservative"
292,Demeclocycline Hydrochloride,https://oehha.ca.gov/chemicals/demeclocycline-hydrochloride,['01/01/1992'],[]
293,Di(2-ethylhexyl)adipate,https://oehha.ca.gov/chemicals/di2-ethylhexyladipate,[],"Plasticizer in polyvinyl chloride plastics (often used for storing and protecting food), solvent in cosmetics; component of electric wire insulator, vinyl-coated fabrics, synthetic rubber, and hydraulic fluid"
294,Di(2-ethylhexyl)phthalate,https://oehha.ca.gov/chemicals/di2-ethylhexylphthalate,"['01/01/1988', '10/24/2003', '10/24/2003']",Plasticizer for many resins and elastomers; component of tobacco smoke
295,Di-isodecyl Phthalate (DIDP),https://oehha.ca.gov/chemicals/di-isodecyl-phthalate-didp,['04/20/2007'],"Plasticizer in PVC, production of rubber, anti-corrosion paints, anti-fouling paints, sealing compounds, textile inks"
296,Di-n-butyl Phthalate,https://oehha.ca.gov/chemicals/di-n-butyl-phthalate,"['12/02/2005', '12/02/2005', '12/02/2005']","Plasticizer in carpet backings, paints, adhesives, hair spray, and nail polish; ectoparasiticide"
297,Di-n-hexyl Phthalate (DnHP),https://oehha.ca.gov/chemicals/di-n-hexyl-phthalate-dnhp,"['12/02/2005', '12/02/2005']",[]
298,Di-n-propyl Isocinchomeronate,https://oehha.ca.gov/chemicals/di-n-propyl-isocinchomeronate,['05/01/1996'],Pesticide. Registration voluntarily cancelled for all livestock uses in the US in 1994.
299,"N,N'-Diacetylbenzidine",https://oehha.ca.gov/chemicals/nn-diacetylbenzidine,['10/01/1989'],[]
300,"2,4-Diaminoanisole",https://oehha.ca.gov/chemicals/24-diaminoanisole,['10/01/1990'],"Chemical intermediate in production of hair and fur dyes (C.I. Basic Brown 2); corrosion inhibitor for steel. Previously used in permanent, oxidative hair dyes until the late 1970s."
301,"2,4-Diaminoanisole Sulfate",https://oehha.ca.gov/chemicals/24-diaminoanisole-sulfate,['01/01/1988'],Chemical intermediate in production of dye (C.I. basic brown 2). Voluntarily removed from use as component of oxidizing hair and fur dye formulations in the US by 1980.
302,"4,4-Diaminodiphenyl Ether",https://oehha.ca.gov/chemicals/44-diaminodiphenyl-ether,['01/01/1988'],"Production of polymer resins, epoxy resins, and epoxy adhesives"
303,"2,4-Diaminotoluene",https://oehha.ca.gov/chemicals/24-diaminotoluene,['01/01/1988'],"Chemical intermediate in the production of toluene diisocyanate; production of dyes; photographic developer; preparation of impact resins, antioxidants, hydraulic fluids, urethane foams, and fungicide stabilizers. Use in hair dye formulations ceased in the US in 1971."
304,Diaminotoluene (Mixed),https://oehha.ca.gov/chemicals/diaminotoluene-mixed,['01/01/1990'],[]
305,o-Dianisidine,https://oehha.ca.gov/chemicals/o-dianisidine,['01/01/1988'],"Chemical intermediate in production of azo dyes for leather, paper, plastic, rubber, and textiles"
306,Diazepam,https://oehha.ca.gov/chemicals/diazepam,['01/01/1992'],"Medicine (benzodiazepine to treat anxiety, seizures, alcohol and opiate withdrawal, and Meniere's disease)"
307,Diazoaminobenzene,https://oehha.ca.gov/chemicals/diazoaminobenzene,['05/20/2005'],"Chemical intermediate, complexing agent, polymer additive; contaminant in certain coloring additives"
308,Diazoxide,https://oehha.ca.gov/chemicals/diazoxide,['02/27/2001'],"Medicine (treatment for hypertension, excess insulin)"
309,Dibenzanthracenes,https://oehha.ca.gov/chemicals/dibenzanthracenes,['12/26/2014'],"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying)."
310,"Dibenzo[a,e]pyrene",https://oehha.ca.gov/chemicals/dibenzoaepyrene,['01/01/1988'],Research chemical (induces cancer); component of tobacco smoke
311,"Dibenzo[a,h]pyrene",https://oehha.ca.gov/chemicals/dibenzoahpyrene,['01/01/1988'],Research chemical (induces cancer); component of tobacco smoke
312,"Dibenzo[a,i]pyrene",https://oehha.ca.gov/chemicals/dibenzoaipyrene,['01/01/1988'],Research chemical (induces cancer); component of tobacco smoke
313,"Dibenzo[a,l]pyrene",https://oehha.ca.gov/chemicals/dibenzoalpyrene,['01/01/1988'],Research chemical (induces cancer); component of tobacco smoke
314,"7H-dibenzo[c,g]carbazole",https://oehha.ca.gov/chemicals/7h-dibenzocgcarbazole,['01/01/1988'],Component of tobacco smoke
315,"Dibenz[a,c]anthracene",https://oehha.ca.gov/chemicals/dibenzacanthracene,['12/26/2014'],"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying)."
316,"Dibenz[a,h]acridine",https://oehha.ca.gov/chemicals/dibenzahacridine,['01/01/1988'],"Research chemical; found in petroleum refinery emissions, coal combustion emissions, tobacco smoke, and coal tar pitch"
317,"Dibenz[a,h]anthracene",https://oehha.ca.gov/chemicals/dibenzahanthracene,['01/01/1988'],Research chemical; product of incomplete combustion; component of tobacco smoke
318,"Dibenz[a,j]acridine",https://oehha.ca.gov/chemicals/dibenzajacridine,['01/01/1988'],"Research chemical (induces cancer); product of incomplete combustion. Found in automobile exhaust, coal-burning effluent, incinerator effluent, tobacco smoke"
319,"Dibenz[a,j]anthracene",https://oehha.ca.gov/chemicals/dibenzajanthracene,['12/26/2014'],"Product of incomplete combustion of organic matter (e.g., cigarette and marijuana smoke, gasoline engine exhaust, and industrial emissions such as fuel combustion, coke oven operations, and coal-tar distillation). Also produced during high temperature cooking (e.g., grilling, broiling, roasting, baking, frying)."
320,"2,3-Dibromo-1-propanol",https://oehha.ca.gov/chemicals/23-dibromo-1-propanol,['10/01/1994'],Production of fire-retardant urethane foams
321,"1,2-Dibromo-3-chloropropane",https://oehha.ca.gov/chemicals/12-dibromo-3-chloropropane,"['07/01/1987', '02/27/1987']","Pesticide, nematicide, soil fumigant; chemical intermediate. No longer produced or used agriculturally in US since 1985."
322,Dibromoacetic Acid,https://oehha.ca.gov/chemicals/dibromoacetic-acid,['06/17/2008'],Research chemical; water disinfection byproduct
323,Dibromoacetonitrile,https://oehha.ca.gov/chemicals/dibromoacetonitrile,['05/03/2011'],Antimicrobial component in metalworking fluid; water disinfection byproduct
324,Dibromochloromethane,https://oehha.ca.gov/chemicals/chlorodibromomethane,[],"Laboratory reagent, chemical intermediate; formerly used as flame retardant. Byproduct of chlorination of bromide-containing water for drinking."
325,"1,2-Dibromoethane",https://oehha.ca.gov/chemicals/12-dibromoethane,"['07/01/1987', '05/15/1998', '05/15/1998']","Pesticide for felled logs and beehives; chemical intermediate for dyes, resins, waxes, and gums. Former pesticide and ingredient of soil and grain fumigant formulations until these uses were banned in the US in 1984. Use as a lead scavenger in antiknock gasoline mixtures ended with the phase-out of leaded gasoline in the US by 1996. Trace amounts occur naturally in the ocean."
326,Dicamba,https://oehha.ca.gov/chemicals/dicamba,[],Herbicide; plant growth regulator
327,"2,4-Dichloro-1-Nitrobenzene",https://oehha.ca.gov/chemicals/24-dichloro-1-nitrobenzene,['09/13/2019'],[]
328,"1,4-Dichloro-2-butene",https://oehha.ca.gov/chemicals/14-dichloro-2-butene,['01/01/1990'],Chemical synthesis
329,"1,4-Dichloro-2-Nitrobenzene",https://oehha.ca.gov/chemicals/14-dichloro-2-nitrobenzene,['09/13/2019'],"Used extensively in the manufacture of dyestuff intermediates and as an intermediate for pigments, pesticides and UV absorbents in closed systems."
330,"1,3-Dichloro-2-propanol",https://oehha.ca.gov/chemicals/13-dichloro-2-propanol,['10/08/2010'],Chemical intermediate in epichlorohydrin production; chemical synthesis
331,"3,3'-Dichloro-4,4'-diamino-diphenyl Ether",https://oehha.ca.gov/chemicals/33-dichloro-44-diamino-diphenyl-ether,['01/01/1988'],[]
332,Dichloroacetic Acid,https://oehha.ca.gov/chemicals/dichloroacetic-acid,"['05/01/1996', '08/07/2009', '08/07/2009']",Chemical intermediate in organic synthesis; analytical reagent; medicine (medicinal disinfectant; cauterization)
333,"1,2-Dichlorobenzene",https://oehha.ca.gov/chemicals/12-dichlorobenzene,[],"Solvent, degreasing agent, insecticide, deodorizing agent; intermediate in production of chemicals, herbicides, and dyes; a byproduct of chlorobenzene production"
334,"1,4-Dichlorobenzene",https://oehha.ca.gov/chemicals/14-dichlorobenzene,['01/01/1989'],"Insecticide, germicide, space and garbage deodorizer; chemical intermediate in organic chemicals, dyes, and pharmaceuticals"
335,"3,3-Dichlorobenzidine",https://oehha.ca.gov/chemicals/33-dichlorobenzidine,['10/01/1987'],Curing agent for solid urethane plastics. Formerly used in the US as chemical intermediate for dyes.
336,"3,3'-Dichlorobenzidine Dihydrochloride",https://oehha.ca.gov/chemicals/33-dichlorobenzidine-dihydrochloride,['05/15/1998'],[]
337,Dichlorodiphenyldichloroethane (DDD),https://oehha.ca.gov/chemicals/dichlorodiphenyldichloroethane-ddd,['01/01/1989'],"Dusts, emulsions, and wettable powders for contact control of leaf rollers and other insects; degradation product of DDT"
338,Dichlorodiphenyldichloroethylene (DDE),https://oehha.ca.gov/chemicals/dichlorodiphenyldichloroethylene-dde,"['01/01/1989', '03/30/2010', '03/30/2010']",Degradation product of DDT
339,Dichlorodiphenyltrichloroethane (DDT),https://oehha.ca.gov/chemicals/dichlorodiphenyltrichloroethane-ddt,"['10/01/1987', '05/15/1998', '05/15/1998', '05/15/1998']",Insecticide. Banned for agricultural use in the US in 1972; Stockholm Convention (not ratified by the US) restricted use to public health vector control in 2004.
340,"1,1-Dichloroethane",https://oehha.ca.gov/chemicals/11-dichloroethane,['01/01/1990'],Intermediate in chemical synthesis; solvent. Formerly used as a surgical anesthetic.
341,"1,2-Dichloroethane",https://oehha.ca.gov/chemicals/12-dichloroethane,['10/01/1987'],"Insect fumigant for grains and orchards, solvent for resins and fats, gasoline additive to remove lead; chemical intermediate in organic synthesis (vinyl chloride); precursor to dry cleaning agent"
342,"1,1-Dichloroethylene",https://oehha.ca.gov/chemicals/11-dichloroethylene,['12/29/2017'],"Comonomer in the polymerization of vinyl chloride, acrylonitrile, and acrylates; production of adhesives, fibers, refrigerants, food packaging and coating resins"
343,"1,2-Dichloroethylene, cis",https://oehha.ca.gov/chemicals/12-dichloroethylene-cis,[],"Chemical intermediate in synthesis of chlorinated solvents and compounds; solvent, extraction solvent, refrigerant"
344,"1,2-Dichloroethylene, trans",https://oehha.ca.gov/chemicals/12-dichloroethylene-trans,[],"Chemical intermediate in synthesis of chlorinated solvents and compounds; solvent, extraction solvent, refrigerant"
345,Dichlorophene,https://oehha.ca.gov/chemicals/dichlorophene,['04/27/1999'],Medicine (treatment for tapeworm)
346,"2,4-Dichlorophenoxyacetic Acid",https://oehha.ca.gov/chemicals/24-dichlorophenoxyacetic-acid,[],"Herbicide, fruit drop control; research chemical (synthetic auxin)"
347,"1,2-Dichloropropane",https://oehha.ca.gov/chemicals/12-dichloropropane,['01/01/1990'],"Chemical intermediate in production of carbon tetrachloride and perchloroethylene; industrial solvent for fats, oils, resins, waxes, and rubber. No longer used as pesticide fumigant in the US."
348,"1,3-Dichloropropene",https://oehha.ca.gov/chemicals/13-dichloropropene,['01/01/1989'],"Nematicide, soil fumigant"
349,Dichlorphenamide,https://oehha.ca.gov/chemicals/dichlorphenamide,['02/27/2001'],Medicine (treatment for glaucoma)
350,Dichlorprop,https://oehha.ca.gov/chemicals/dichlorprop,['04/27/1999'],Herbicide
351,Dichlorvos,https://oehha.ca.gov/chemicals/dichlorvos,['01/01/1989'],"Insecticide, veterinary medicine (worming agent, botacide). All domestic uses, and many commercial and industrial uses banned in the US in 1995."
352,Diclofop Methyl,https://oehha.ca.gov/chemicals/diclofop-methyl,"['04/06/2010', '03/05/1999']",Restricted-use herbicide
353,Dicrotophos,https://oehha.ca.gov/chemicals/dicrotophos,[],organophosphate acetylcholinesterase inhibitor used as an insecticide
354,Dicumarol,https://oehha.ca.gov/chemicals/dicumarol,['10/01/1992'],Naturally occurring anticoagulant; medicine (treatment for deep venous thrombosis)
355,Dieldrin,https://oehha.ca.gov/chemicals/dieldrin,['07/01/1988'],Formerly used as an insecticide; product of oxidized aldrin (former insecticide). All uses except termite control banned in US in 1974; all uses banned in US in 1987.
356,Dienestrol,https://oehha.ca.gov/chemicals/dienestrol,['01/01/1990'],[]
357,Diepoxybutane,https://oehha.ca.gov/chemicals/diepoxybutane,['01/01/1988'],Research chemical
358,Diesel Exhaust Particulate,https://oehha.ca.gov/chemicals/diesel-exhaust-particulate,['10/01/1990'],ARB 2016. Consolidated Table of OEHHA/ARB Approved Risk Assessment Health Values. Listed as Particulate Emissions from Diesel-Fueled Engines.
359,Diethanolamine,https://oehha.ca.gov/chemicals/diethanolamine,['06/22/2012'],"Surfactant, corrosion inhibitor; component in soaps, shampoo, cleaners, polishers, cosmetings, and pharmaceuticals; chemical intermediate in rubber chemicals industry"
360,Diethyl Sulfate,https://oehha.ca.gov/chemicals/diethyl-sulfate,['01/01/1988'],"Chemical intermediate (ethylating agent) in production of dyes, pigments, carbonless paper, and textiles; component of household products, agricultural chemicals, and pharmaceuticals"
361,"N,N-Diethyl-m-toluamide",https://oehha.ca.gov/chemicals/nn-diethyl-m-toluamide,[],insect repellent
362,"1,2-Diethylhydrazine",https://oehha.ca.gov/chemicals/12-diethylhydrazine,['01/01/1988'],Research chemical
363,Diethylstilbestrol,https://oehha.ca.gov/chemicals/diethylstilbestrol,"['02/27/1987', '07/01/1987']","Veterinary medicine (canine incontinence). Formerly used in medicine to prevent spontaneous abortion, treat prostate cancer and breast cancer; marketing in US ended in 1997. Formerly used as growth hormone in beef and poultry industries (phased out in late 1970s)."
364,Diflunisal,https://oehha.ca.gov/chemicals/diflunisal,"['01/29/1999', '01/29/1999']",Medicine (NSAID)
365,Diglycidyl ether,https://oehha.ca.gov/chemicals/diglycidyl-ether,['08/07/2009'],"Used as a diluent for epoxy resins, as a textile-treating agent and as a stabilizer for chlorinated organic compounds"
366,Diglycidyl Resorcinol Ether,https://oehha.ca.gov/chemicals/diglycidyl-resorcinol-ether,['07/01/1989'],"Epoxy resin, diluent in production of other epoxy resins; curing agent in production of polysulfide rubber"
367,Dihydroergotamine Mesylate,https://oehha.ca.gov/chemicals/dihydroergotamine-mesylate,['05/01/1997'],[]
368,Dihydrosafrole,https://oehha.ca.gov/chemicals/dihydrosafrole,['01/01/1988'],"Derivative of safrole, a natural constituent of the sassafras plant. Former flavoring agent in root beer in the US until 1960; former fragrance in cosmetics. Byproduct in production of piperonyl butoxide."
369,Diisononyl Phthalate,https://oehha.ca.gov/chemicals/diisononyl-phthalate,['12/20/2013'],plasticizer
370,Diisopropyl Sulfate,https://oehha.ca.gov/chemicals/diisopropyl-sulfate,['04/01/1993'],Chemical intermediate in preparation of isopropanol from propylene
371,Diltiazem Hydrochloride,https://oehha.ca.gov/chemicals/diltiazem-hydrochloride,['02/27/2001'],[]
372,"3,3-Dimethlybenzidine Dihydrochloride",https://oehha.ca.gov/chemicals/33-dimethlybenzidine-dihydrochloride,['04/01/1992'],"Chemical intermediate in production of dye, pigment, adhesives, and polyurethane elastomers"
373,Dimethoate,https://oehha.ca.gov/chemicals/dimethoate,[],Acaricide; insecticide for deciduous fruits and nuts; medication (vet)
374,"3,3-Dimethoxybenzidine Dihydrochloride",https://oehha.ca.gov/chemicals/33-dimethoxybenzidine-dihydrochloride,['10/01/1990'],[]
375,"3,3'-Dimethoxybenzidine-based dyes metabolized to 3,3'-dimethoxybenzidine",https://oehha.ca.gov/chemicals/33-dimethoxybenzidine-based-dyes-metabolized-33-dimethoxybenzidine,['06/11/2004'],[]
376,Dimethyl chlorothiophosphate,https://oehha.ca.gov/chemicals/dimethyl-chlorothiophosphate,[],[]
377,Dimethyl Sulfate,https://oehha.ca.gov/chemicals/dimethyl-sulfate,['01/01/1988'],"Reagent for methylation of phenols, amines, and thiols; formerly used in chemical warfare"
378,"2,6-Dimethyl-N-nitrosomorpholine",https://oehha.ca.gov/chemicals/26-dimethyl-n-nitrosomorpholine,['02/08/2013'],[]
379,"N,N-Dimethyl-p-toluidine",https://oehha.ca.gov/chemicals/nn-dimethyl-p-toluidine,['05/02/2014'],[]
380,"N,N-Dimethylacetamide",https://oehha.ca.gov/chemicals/nn-dimethylacetamide,"['09/13/2019', '05/21/2010', '12/20/2013']",[]
381,"2,4-D Dimethylamine Salt",https://oehha.ca.gov/chemicals/24-d-dimethylamine-salt,[],Herbicide
382,4-Dimethylaminoazobenzene,https://oehha.ca.gov/chemicals/4-dimethylaminoazobenzene,['01/01/1988'],"Dye for polishes, polystyrene, and soap; pH indicator. Not currently produced or used commercially in US."
383,"7,12-Dimethylbenz(a)anthracene",https://oehha.ca.gov/chemicals/712-dimethylbenzaanthracene,['01/01/1990'],"Research chemical (induces cancer, immunosuppressor)"
384,"3,3-Dimethylbenzidine",https://oehha.ca.gov/chemicals/33-dimethylbenzidine,['01/01/1988'],Chemical intermediate in production of dyes
385,"3,3'-Dimethylbenzidine-based dyes metabolized to 3,3'-dimethylbenzidine",https://oehha.ca.gov/chemicals/33-dimethylbenzidine-based-dyes-metabolized-33-dimethylbenzidine,['06/11/2004'],[]
386,Dimethylcarbamoyl Chloride,https://oehha.ca.gov/chemicals/dimethylcarbamoyl-chloride,['01/01/1988'],"Chemical intermediate in production of dye, pharmaceuticals, pesticide, and rocket fuel"
387,Dimethylformamide,https://oehha.ca.gov/chemicals/dimethylformamide,['10/27/2017'],"Solvent in production of polyurethane products, acrylic fibers, pharmaceuticals, and coatings; component of tobacco smoke"
388,"1,1-Dimethylhydrazine",https://oehha.ca.gov/chemicals/11-dimethylhydrazine,['10/01/1989'],Rocket propellant; chemical synthesis
389,"1,2-Dimethylhydrazine",https://oehha.ca.gov/chemicals/12-dimethylhydrazine,['01/01/1988'],Research chemical (induces cancer)
390,Dimethylvinylchloride,https://oehha.ca.gov/chemicals/dimethylvinylchloride,['07/01/1989'],Research chemical; organic synthesis; chemical intermediate for production of isobutylene compounds
391,o-Dinitrobenzene,https://oehha.ca.gov/chemicals/o-dinitrobenzene,['07/01/1990'],[]
392,p-Dinitrobenzene,https://oehha.ca.gov/chemicals/p-dinitrobenzene,['07/01/1990'],[]
393,m-Dinitrobenzene,https://oehha.ca.gov/chemicals/m-dinitrobenzene,['07/01/1990'],"Chemical intermedate in organic synthesis; production of dyes, explosives, industrial solvents, and pesticides"
394,"3,7-Dinitrofluoranthene",https://oehha.ca.gov/chemicals/37-dinitrofluoranthene,['08/26/1997'],"Component of diesel emissions, incomplete combustion products of liquefied petroleum gas"
395,"3,9-Dinitrofluoranthene",https://oehha.ca.gov/chemicals/39-dinitrofluoranthene,['08/26/1997'],"Component of diesel emissions, incomplete combustion products of liquefied petroleum gas"
396,"1,3-Dinitropyrene",https://oehha.ca.gov/chemicals/13-dinitropyrene,['11/02/2012'],[]
397,"1,6-Dinitropyrene",https://oehha.ca.gov/chemicals/16-dinitropyrene,['10/01/1990'],Found in diesel exhaust and particles derived from coal-burning
398,"1,8-Dinitropyrene",https://oehha.ca.gov/chemicals/18-dinitropyrene,['10/01/1990'],Found in diesel exhaust and airborne particulates
399,"2,4-Dinitrotoluene",https://oehha.ca.gov/chemicals/24-dinitrotoluene,"['07/01/1988', '08/20/1999']",Chemical intermediate in manufacture of polyurethanes and dye processes; gelatinizing and waterproofing agent in explosives
400,"2,6-Dinitrotoluene",https://oehha.ca.gov/chemicals/26-dinitrotoluene,"['07/01/1995', '08/20/1999']","Production of waterproofing for explosives, plasticizer in propellants; chemical intermediate in production of TNT, urethane polymers, flexible and rigid foams, surface coatings, and dyes"
401,Dinitrotoluene (Technical Grade),https://oehha.ca.gov/chemicals/dinitrotoluene-technical-grade,"['08/20/1999', '08/20/1999']",[]
402,"Dinitrotoluene Mixture (2,4 and 2,6)",https://oehha.ca.gov/chemicals/dinitrotoluene-mixture-24-and-26,['05/01/1996'],[]
403,Dinocap,https://oehha.ca.gov/chemicals/dinocap,['04/01/1990'],"Fungicide, acaricide"
404,Dinoseb,https://oehha.ca.gov/chemicals/dinoseb,['01/01/1989'],"Herbicide, insecticide, miticide; corn enhancer. Banned for agricultural uses in US in 1986; no current registered uses in California."
405,"1,4-Dioxane",https://oehha.ca.gov/chemicals/14-dioxane,['01/01/1988'],"Solvent, dehydrating agent; stabilizer in chlorinated solvents"
406,Diphenylhydantoin,https://oehha.ca.gov/chemicals/diphenylhydantoin,"['01/01/1988', '07/01/1987']",Medicine (anticonvulsant)
407,"Diphenylhydantoin (Phenytoin), Sodium Salt",https://oehha.ca.gov/chemicals/diphenylhydantoin-phenytoin-sodium-salt,['01/01/1988'],Medicine (anticonvulsant)
408,Diquat,https://oehha.ca.gov/chemicals/diquat,[],Herbicide (pre-harvest desiccation)
409,Diquat dibromide,https://oehha.ca.gov/chemicals/diquat-dibromide,[],contact herbicide that produces desiccation and defoliation
410,Direct Black 38 (Technical Grade),https://oehha.ca.gov/chemicals/direct-black-38-technical-grade,['01/01/1988'],"Dye for cellulose, silk fibers, leather and paper"
411,Direct Blue 6 (Technical Grade),https://oehha.ca.gov/chemicals/direct-blue-6-technical-grade,['01/01/1988'],"Dye for fabric,leather, silk, wool, cotton, paper and stain biological materials as well as produce aqueous inks. Has also been used as a hair dye component."
412,Direct Brown 95 (Technical Grade),https://oehha.ca.gov/chemicals/direct-brown-95-technical-grade,['10/01/1988'],"Dye for textiles, leather, plastics, paper"
413,Disodium Cyanodithioimidocarbonate,https://oehha.ca.gov/chemicals/disodium-cyanodithioimidocarbonate,['03/30/1999'],Microbiocide in food processing water systems
414,Disperse Blue 1 (Technical Grade),https://oehha.ca.gov/chemicals/disperse-blue-1-technical-grade,['10/01/1990'],"Azo dye for hair, fabrics, synthetic fibers, fur, sheepskins, thermoplastics, and some personal care products; solvent dye in cellulose acetate plastics"
415,Diuron,https://oehha.ca.gov/chemicals/diuron,['05/31/2002'],"Herbicide, component of defoliant; research chemical (block photosynthesis system)"
416,Doxorubicin Hydrochloride,https://oehha.ca.gov/chemicals/doxorubicin-hydrochloride,"['07/01/1987', '01/29/1999', '01/29/1999']",Medicine (antineoplastic)
417,Doxycycline,https://oehha.ca.gov/chemicals/doxycycline,['07/01/1990'],Medicine (antibiotic)
418,Doxycycline Calcium,https://oehha.ca.gov/chemicals/doxycycline-calcium,['01/01/1992'],Medicine (antibacterial)
419,Doxycycline Hyclate,https://oehha.ca.gov/chemicals/doxycycline-hyclate,['10/01/1991'],Medicine (antibacterial)
420,Doxycycline Monohydrate,https://oehha.ca.gov/chemicals/doxycycline-monohydrate,['10/01/1991'],Medicine (antibacterial)
421,Emissions from combustion of coal,https://oehha.ca.gov/chemicals/emissions-combustion-coal,['08/07/2013'],[]
422,Emissions from high-temperature unrefined rapeseed oil,https://oehha.ca.gov/chemicals/emissions-high-temperature-unrefined-rapeseed-oil,['01/03/2014'],[]
423,Endosulfan,https://oehha.ca.gov/chemicals/endosulfan,[],Organochlorine pesticide
424,Endothall,https://oehha.ca.gov/chemicals/endothall,[],"Herbicide, defoliant"
425,Endrin,https://oehha.ca.gov/chemicals/endrin,['05/15/1998'],"Previously used as an insecticide, avicide, and rodenticide. Most uses cancelled in the US in 1980; not produced or sold for general use in the US since 1986."
426,Environmental Tobacco Smoke (ETS),https://oehha.ca.gov/chemicals/environmental-tobacco-smoke-ets,['06/09/2006'],[]
427,Epichlorohydrin,https://oehha.ca.gov/chemicals/epichlorohydrin,"['10/01/1987', '09/01/1996']","Production of synthetic materials, including epoxy and phenoxy resins, synthetic glycerol, and elastomers; solvent, fumigant; chemical intermediate"
428,Epoxiconazole,https://oehha.ca.gov/chemicals/epoxiconazole,['04/15/2011'],Fungicide
429,"1,2-Epoxybutane",https://oehha.ca.gov/chemicals/12-epoxybutane,[],Stabilizer in chlorinated hydrocarbon solvents
430,Ergotamine Tartrate,https://oehha.ca.gov/chemicals/ergotamine-tartrate,['04/01/1990'],[]
431,Erionite,https://oehha.ca.gov/chemicals/erionite,['10/01/1988'],Naturally occurring in volcanic ash altered by weathering and ground water. Formerly used as a catalyst in a hydrocarbon-cracking process.
432,Estradiol 17B,https://oehha.ca.gov/chemicals/estradiol-17b,['01/01/1988'],"Most active naturally occuring estrogenic hormone. Used in human medicine for treatment of amenorrhea, local treatment of atrophic vaginitis and psychological disturbances"
433,Estragole,https://oehha.ca.gov/chemicals/estragole,['10/29/1999'],Component of various herbs; used in the preparation of fragrances
434,Estrogen-Progestogen (Combined),https://oehha.ca.gov/chemicals/estrogen-progestogen-combined,['11/04/2011'],[]
435,"Estrogens, Steroidal",https://oehha.ca.gov/chemicals/estrogens-steroidal,['08/19/2005'],[]
436,Estrone,https://oehha.ca.gov/chemicals/estrone,['01/01/1988'],Endogenous estrogenic hormone; component of norsteroid and some medications
437,Estropipate,https://oehha.ca.gov/chemicals/estropipate,"['08/26/1997', '08/26/1997']","Medicine (hormone replacement therapy, breast and prostate cancer treatment)"
438,Ethinylestradiol,https://oehha.ca.gov/chemicals/ethinylestradiol,['01/01/1988'],Endogenous estrogenic hormone; medication (combined oral contraceptives)
439,Ethionamide,https://oehha.ca.gov/chemicals/ethionamide,['08/26/1997'],[]
440,Ethoprop,https://oehha.ca.gov/chemicals/ethoprop,['02/27/2001'],Insecticide
441,Ethyl Acrylate,https://oehha.ca.gov/chemicals/ethyl-acrylate,['07/01/1989'],"Production of polymers used in paints, textiles, and fibers; reagent in synthesis of pharmaceutical intermediates"
442,Ethyl alcohol in alcoholic beverages,https://oehha.ca.gov/chemicals/ethyl-alcohol-alcoholic-beverages,['10/01/1987'],[]
